City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,howrah,22.5892,88.3103,29.0,89,40,5.14,IN,1696133581
282,casper,42.8666,-106.3131,19.33,33,0,2.24,US,1696133964
283,tobelo,1.7284,128.0095,30.15,64,63,3.54,ID,1696133974
284,rio grande,-32.035,-52.0986,8.3,79,0,2.55,BR,1696133975
285,san carlos,9.6612,-68.5827,24.65,94,93,1.58,VE,1696133975
286,sorong,-0.8833,131.25,28.18,78,98,3.46,ID,1696133673
287,vila velha,-20.3297,-40.2925,20.97,94,100,1.54,BR,1696133627
288,paita,-5.0892,-81.1144,19.76,85,71,4.99,PE,1696133975
289,saudarkrokur,65.7461,-19.6394,5.68,71,98,1.04,IS,1696133976
290,morant bay,17.8815,-76.4093,28.79,81,10,1.07,JM,1696133976
291,mata-utu,-13.2816,-176.1745,27.24,78,73,9.65,WF,1696133976
292,kataba,13.9833,44.3833,18.97,33,0,1.42,YE,1696133976
293,kokopo,-4.352,152.2633,27.56,83,26,3.04,PG,1696133976
294,humberto de campos,-2.5983,-43.4611,26.12,77,78,4.19,BR,1696133977
295,demre,36.2537,29.9777,20.64,72,7,1.02,TR,1696133977
296,goondiwindi,-28.55,150.3167,31.01,21,40,4.4,AU,1696133977
297,les cayes,18.2,-73.75,26.85,84,47,1.91,HT,1696133977
298,tidjikja,18.5564,-11.4271,27.58,16,33,4.56,MR,1696133978
299,qui nhon,13.7667,109.2333,30.05,67,84,3.81,VN,1696133944
300,rongelap,11.1635,166.8941,26.85,82,100,5.12,MH,1696133978
301,loukhi,66.0764,33.0381,8.36,95,100,6.97,RU,1696133978
302,amahai,-3.3333,128.9167,28.33,70,66,2.42,ID,1696133979
303,yeraliyev,43.2,51.65,18.24,49,1,1.95,KZ,1696133979
304,kotagiri,11.4333,76.8833,19.04,68,91,1.12,IN,1696133979
305,puerto deseado,-47.7503,-65.8938,9.47,71,100,12.16,AR,1696133599
306,ulladulla,-35.35,150.4667,33.76,18,95,5.02,AU,1696133655
307,raton,36.9034,-104.4391,11.19,93,100,0.0,US,1696133437
308,viedma,-40.8135,-62.9967,6.12,71,70,4.76,AR,1696133980
309,hirara,24.8,125.2833,30.92,89,75,9.26,JP,1696133980
310,huilong,31.8111,121.655,23.2,57,35,6.26,CN,1696133980
311,patterson,37.4716,-121.1297,19.32,70,93,2.25,US,1696133980
312,alofi,-19.0595,-169.9187,22.94,78,100,6.17,NU,1696133981
313,aomori,40.8244,140.74,24.18,88,75,3.6,JP,1696133870
